
55,0,0,1089426,17553,3765,8731,7146,12715,17249,10550

29,0,0,1825004,42848,29119,2014,26560,11446,7878,1289

55,0,0,240977,3740,2348,2964,1421,9763,4644,2654

55,0,0,1344814,50370,4514,8997,15912,16789,778,989

200,0,0,65416,23203,2653,3167,592,8937,2387,750

200,0,0,161255,5320,3020,6451,3462,18207,4100,6277

200,0,0,2076373,90839,26740,26952,17595,102920,3712,1572

200,0,0,263926,11140,881,2657,580,10762,1697,1441

55,0,0,502298,39377,35632,9064,35136,64488,21711,12617

29,0,0,1100313,51066,7582,3211,8691,59691,13039,1697

29,0,0,128823,53494,442,782,3322,4424,3215,1116

55,0,0,78344,2391,1136,617,720,1940,1239,231

200,0,0,18991,330,558,232,212,955,50,24

200,0,0,243789,1294,997,376,719,4332,551,127

200,0,0,110847,5930,1283,469,2049,1738,2040,213

200,0,0,104394,293499,998,35440,2019,104388,5279,1591

200,0,0,122824,9098,1327,1598,413,1658,448,302

200,0,0,128221,9565,1408,627,2480,3720,365,280

200,0,0,29995,2824,717,331,792,622,122,100

200,0,0,153891,284084,72437,84882,32219,340259,65840,5815

200,0,0,659771,42388,22466,24950,10571,62955,5664,1819

200,0,0,213148,12275,1269,2137,1318,3541,357,347

200,0,0,15320,662,195,316,585,377,139,79

200,0,0,138887,3060,1001,507,977,2581,269,57

200,0,0,1333435,153489,32042,123997,41174,244222,12374,5684

200,0,0,210227,69229,16275,16003,6880,106075,1404,4191

200,0,0,1536093,245332,18064,50641,41619,409340,25949,8187

200,0,0,928190,151485,31646,37258,53459,375871,13180,3747

200,0,0,719788,430132,7286,226092,41931,280772,16404,15613

200,0,0,170711,47141,3523,5806,2153,22117,368,299

200,0,0,107306,431706,35647,150025,35229,340438,12827,5523

200,0,0,244478,54817,3623,3296,1471,28749,844,411

200,0,0,781243,97342,896,13999,7577,56004,4591,1744

200,0,0,329050,5031,2018,934,1243,4023,183,216

200,0,0,1079777,454679,71804,73726,17503,466734,11446,10274

200,0,0,242461,29768,4934,3830,1064,28986,1052,192

200,0,0,179436,6954,2611,2875,1360,4009,303,119

200,0,0,17900,3340,598,161,749,606,50,70

200,0,0,2557185,363684,22625,37485,52028,342732,6053,5937

200,0,0,45052,14303,1587,937,410,5694,164,129

200,0,0,169290,19680,1162,980,1267,2707,552,131

200,0,0,155708,11619,961,975,2040,4071,374,336

200,0,0,85937,9034,487,1619,614,1841,1205,289

200,0,0,156352,7509,254,548,760,3042,319,149

200,0,0,181474,6674,3263,1585,1209,3183,288,290

200,0,0,49837,16642,1285,614,1424,3254,362,132

200,0,0,2563220,199368,42683,137363,21362,400945,13797,5359

200,0,0,238086,16971,10786,3084,2060,10160,9405,713

200,0,0,354214,15338,1869,2897,2052,5557,1196,385

200,0,0,97671,199417,7914,38813,8910,132920,8111,4429

200,0,0,39339,5521,456,337,420,7318,197,80

200,0,0,176752,8314,1857,2521,1519,4176,218,103

200,0,0,46195,11240,942,722,1887,3240,221,179

200,0,0,440565,4873,3735,691,1228,1287,896,220

200,0,0,998091,11711,10191,3053,3287,14506,4267,595

200,0,0,194765,8487,4161,3846,1123,4760,281,160

200,0,0,12432,2685,257,205,440,851,77,51

200,0,0,96583,3776,1944,209,418,5691,238,31

200,0,0,738950,11994,2993,2135,4937,14435,180,201

200,0,0,595603,150498,12384,18479,9402,101553,5251,1551

200,0,0,964774,75914,7656,28088,7262,110716,3935,1694

200,0,0,80382,6281,1172,1569,397,6258,257,37

200,0,0,230994,13877,1381,3570,2946,2887,296,175

200,0,0,106565,8033,2955,1159,1676,3181,520,176

200,0,0,259497,15747,4452,4102,832,30752,1173,235

200,0,0,317120,9226,1918,2777,1254,5147,223,224

200,0,0,257755,6874,1839,2272,895,4169,361,163

200,0,0,14918,10594,652,622,1451,1379,317,238

200,0,0,232018,30183,3089,5535,3888,10169,3210,923

200,0,0,247012,1997,1440,1611,538,3784,212,67

200,0,0,671851,99651,4418,11313,11426,96987,15421,2213

200,0,0,848484,77829,5967,24416,8587,98191,2807,1575

200,0,0,412802,46298,6843,5243,977,25921,1007,415

